mol,cs,logPa,T,dHv,logPa_25
CC(CC)NC(=O)N,CCC(C)NC(N)=O,0.3581252852766486,367.46,,
CC(CC)NC(=O)N,CCC(C)NC(N)=O,0.4387005329007363,369.25,,
CC(CC)NC(=O)N,CCC(C)NC(N)=O,0.5427009694481109,372.17,,
CC(CC)NC(=O)N,CCC(C)NC(N)=O,-0.3757179041643317,350.0,,
CC1C(O)CC2CC1C2(C)C,CC1C(O)CC2CC1C2(C)C,-0.13076828026902382,283.15,,
CC1C(O)CC2CC1C2(C)C,CC1C(O)CC2CC1C2(C)C,0.4014005407815441,293.15,,
CC1C(O)CC2CC1C2(C)C,CC1C(O)CC2CC1C2(C)C,0.8674674878590515,303.15,,
CC1C(O)CC2CC1C2(C)C,CC1C(O)CC2CC1C2(C)C,1.290034611362518,313.15,,
O=C1C[C@@H]2C[C@H]([C@]1(C)O)C2(C)C,CC1(C)[C@@H]2CC(=O)[C@@](C)(O)[C@H]1C2,-0.1366771398795441,283.15,,
O=C1C[C@@H]2C[C@H]([C@]1(C)O)C2(C)C,CC1(C)[C@@H]2CC(=O)[C@@](C)(O)[C@H]1C2,0.3364597338485295,293.15,,
O=C1C[C@@H]2C[C@H]([C@]1(C)O)C2(C)C,CC1(C)[C@@H]2CC(=O)[C@@](C)(O)[C@H]1C2,0.7201593034059569,303.15,,
O(CCOCCO)CCCC,CCCCOCCOCCO,0.46136155385689,298.15,76113.36931273622,0.46136155385689
Clc1cc(C)c(OCC(O)=O)cc1,Cc1cc(Cl)ccc1OCC(=O)O,-3.6989700043360187,298.15,,
Clc1cc(C)c(OCC(O)=O)cc1,Cc1cc(Cl)ccc1OCC(=O)O,-3.6989700043360187,293.15,,
Clc1cc(C)c(OCC(O)=O)cc1,Cc1cc(Cl)ccc1OCC(=O)O,-3.42021640338319,298.15,,
ClCc1ccccc1,ClCc1ccccc1,2.0569048513364727,293.15,50000.0,2.2063099625015936
ClCc1ccccc1,ClCc1ccccc1,2.2380461031287955,298.15,50000.0,2.2380461031287955
ClCc1ccccc1,ClCc1ccccc1,2.3729120029701067,303.15,50000.0,2.228435313746768
