ikey,dHvap_kJmol
CQLOYHZZZCWHSG-UHFFFAOYSA-N,64.24170459707075
CQVKBNXGPDSDEA-UHFFFAOYSA-N,28.44820986321526
CRBJBYGJVIBWIY-UHFFFAOYSA-N,66.22305493737801
CRJBZFQLVNBSHX-UHFFFAOYSA-N,90.3043244319378
CRJLQECEGNIMNG-UHFFFAOYSA-N,39.29999999999999
CRNIHJHMEQZAAS-UHFFFAOYSA-N,35.0
CRNKGYFOWLZFDQ-UHFFFAOYSA-N,79.79364615226133
CRPUJAZIXJMDBK-UHFFFAOYSA-N,44.07054837903758
CRRUGYDDEMGVDY-UHFFFAOYSA-N,54.39999999999999
CRSBERNSMYQZNG-UHFFFAOYSA-N,58.70929637592714
